Biomass,C (wt%),H (wt%),O (wt%),N (wt%),S (wt%),H/C (wt%),O/C (wt%),(O+N)/C (wt%),BHHV (MJ/kg),VM (wt%),FC (wt%),Ash (wt%),VM/FC (wt%),CL (wt%),HC (wt%),LG (wt%),Temp (°C),Time (min),HR (°C/min),HHV (MJ/kg),Yield (%),CER (%),Reference
Algae,45.76,6.43,33.95,7.67,0.74,1.67,0.56,0.7,18.66,82.45,12.1,5.45,6.81,39.04,23.14,26.48,750,20,4,25.38,23,31.28,https://doi.org/10.1021/acs.est.3c01325
Algae,51.2,7.2,31,9.5,1.1,1.68,0.45,0.61,22.16,82.13,10.03,7.85,8.19,33.2,15.2,22.59,400,17,14,21.9,40.21,39.74,https://doi.org/10.1016/j.fuel.2018.04.163
Oak,48.7,6.8,44,0.1,0.1,1.66,0.68,0.68,18.33,86.3,13.28,0.42,6.5,29.8,20,43.3,450,13,13,28.31,18.9,29.2,https://doi.org/10.1002/cjce.24964
Oak,48.7,6.8,44,0.1,0.1,1.66,0.68,0.68,18.33,86.3,13.28,0.42,6.5,29.8,20,43.3,500,13,14,27.76,17.2,26.05,https://doi.org/10.1002/cjce.24964
Oak,48.7,6.8,44,0.1,0.1,1.66,0.68,0.68,18.33,86.3,13.28,0.42,6.5,29.8,20,43.3,550,13,13,27.74,16.1,24.37,https://doi.org/10.1002/cjce.24964
Oak,47.2,6.36,46.34,0.2,0.1,1.61,0.74,0.74,16.77,85.74,12.62,1.64,6.79,35.38,35.55,27.1,623,16,11,29.14,31.44,54.62,https://doi.org/10.3390/catal7120356
Oak,46.6,6.4,46.6,0.4,0,1.64,0.75,0.76,16.57,85.4,13.52,1.08,6.32,39.25,26.7,24.38,400,30,10,29.9,30.82,55.61,https://doi.org/10.1007/s13399-020-00923-7
Oak,46.6,6.4,46.6,0.4,0,1.64,0.75,0.76,16.57,85.4,13.52,1.08,6.32,39.25,26.7,24.38,500,30,10,30.22,27.9,50.88,https://doi.org/10.1007/s13399-020-00923-7
Oak,46.6,6.4,46.6,0.4,0,1.64,0.75,0.76,16.57,85.4,13.52,1.08,6.32,39.25,26.7,24.38,600,30,10,30.17,27.18,49.48,https://doi.org/10.1007/s13399-020-00923-7
Bagasse,47.6,6.08,44.7,0.21,0.1,1.52,0.7,0.71,16.8,79.73,18.81,1.46,4.24,40.07,24.47,21.68,600,28,10,19.1,18.3,20.8,https://doi.org/10.1016/j.indcrop.2024.118225
Bagasse,42.48,5.16,46.1,0.76,0.04,1.45,0.81,0.83,13.5,76.89,17.82,5.28,4.31,39.68,26.21,26.53,400,30,10,21.05,40.94,63.83,https://doi.org/10.18671/scifor.v49n131.03
Bagasse,42.48,5.16,46.1,0.76,0.04,1.45,0.81,0.83,13.5,76.89,17.82,5.28,4.31,39.67,26.43,26.41,550,21,13,21.27,36.21,57.04,https://doi.org/10.18671/scifor.v49n131.03
Bagasse,42.48,5.16,46.1,0.76,0.04,1.45,0.81,0.83,13.5,76.89,17.82,5.28,4.31,39.65,27.27,26.52,700,18,13,21.49,33.11,52.7,https://doi.org/10.18671/scifor.v49n131.03
Bagasse,43.6,6.2,44.8,0.9,0,1.69,0.77,0.79,15.59,87.67,8.29,4.04,10.58,43.76,26.58,26.14,300,24,10,24.9,41.1,65.63,https://doi.org/10.1016/j.jaap.2023.106217
Bagasse,43.6,6.2,44.8,0.9,0,1.69,0.77,0.79,15.59,87.67,8.29,4.04,10.58,43.6,26.51,26.14,400,24,10,24.91,35.1,56.07,https://doi.org/10.1016/j.jaap.2023.106217
Coffee grounds,44.89,6.14,48.26,0.35,0.08,1.63,0.81,0.81,15.33,77.06,15.34,7.6,5.02,33.1,30.03,24.52,500,1,20,16.78,21,22.98,https://doi.org/10.1016/j.egypro.2018.09.092
Coffee grounds,48.69,6.89,42.03,2.31,0.08,1.69,0.65,0.69,18.8,81.48,16.69,1.83,4.88,49.8,15.4,31.9,600,21,11,20.71,26.1,28.75,https://doi.org/10.1007/s10973-022-11878-4
Coffee grounds,51.34,6.91,39.54,6.91,0.08,1.6,0.58,0.69,20.17,76.72,21.09,2.19,3.64,33.6,14.96,30.29,400,21,10,34.81,19.9,34.34,https://doi.org/10.1016/j.renene.2023.119630
Coffee grounds,51.34,6.91,39.54,6.91,0.08,1.6,0.58,0.69,20.17,76.72,21.09,2.19,3.64,33.58,14.97,30.26,450,21,10,33.36,15.9,26.3,https://doi.org/10.1016/j.renene.2023.119630
Coffee grounds,51.34,6.91,39.54,6.91,0.08,1.6,0.58,0.69,20.17,76.72,21.09,2.19,3.64,33.58,14.98,30.54,550,21,10,30.34,14.09,21.19,https://doi.org/10.1016/j.renene.2023.119630
Coffee grounds,47.5,6.4,43.7,2.5,0.1,1.61,0.69,0.74,17.4,77.05,20.26,2.69,3.8,37.89,23.39,28.39,500,27,10,27.57,23.48,37.2,https://doi.org/10.1007/s13399-022-03491-0
Coffee grounds,47.5,6.4,43.7,2.5,0.1,1.61,0.69,0.74,17.4,77.05,20.26,2.69,3.8,37.89,23.42,28.34,600,27,10,27.56,22.74,36.01,https://doi.org/10.1007/s13399-022-03491-0
Coffee grounds,47.5,6.4,43.7,2.5,0.1,1.61,0.69,0.74,17.4,77.05,20.26,2.69,3.8,37.83,23.57,28.35,700,26,10,28.01,22.14,35.63,https://doi.org/10.1007/s13399-022-03491-0
Coffee grounds,47.5,6.4,43.7,2.5,0.1,1.61,0.69,0.74,17.4,77.05,20.26,2.69,3.8,37.83,23.5,28.35,800,26,10,28.02,22.33,35.95,https://doi.org/10.1007/s13399-022-03491-0
Coffee grounds,47.5,6.4,43.7,2.5,0.1,1.61,0.69,0.74,17.4,77.05,20.26,2.69,3.8,37.83,23.31,28.04,900,26,10,27.78,21.86,34.89,https://doi.org/10.1007/s13399-022-03491-0
Coffee grounds,47.5,6.4,43.7,2.5,0.1,1.61,0.69,0.74,17.4,77.05,20.26,2.69,3.8,37.59,23.31,27.89,1000,26,10,27.7,21.78,34.67,https://doi.org/10.1007/s13399-022-03491-0
Sawdust,40.3,5.37,53.05,1.28,0,1.59,0.99,1.01,11.82,78.67,15.76,5.57,4.99,40.04,25.49,25.73,250,10,10,16.75,60,85.02,https://doi.org/10.1016/j.ecmx.2024.100583
Sawdust,40.3,5.37,53.05,1.28,0,1.59,0.99,1.01,11.82,78.67,15.76,5.57,4.99,40.04,25.22,25.7,300,10,10,17.83,56,84.47,https://doi.org/10.1016/j.ecmx.2024.100583
Sawdust,40.3,5.37,53.05,1.28,0,1.59,0.99,1.01,11.82,78.67,15.76,5.57,4.99,40.04,25.22,25.69,350,10,10,19.81,49.5,82.96,https://doi.org/10.1016/j.ecmx.2024.100583
Sawdust,40.3,5.37,53.05,1.28,0,1.59,0.99,1.01,11.82,78.67,15.76,5.57,4.99,39.9,25.25,25.8,400,10,10,20.88,35,61.83,https://doi.org/10.1016/j.ecmx.2024.100583
Sawdust,40.3,5.37,53.05,1.28,0,1.59,0.99,1.01,11.82,78.67,15.76,5.57,4.99,39.9,25.37,25.8,450,10,10,21.12,32.5,58.07,https://doi.org/10.1016/j.ecmx.2024.100583
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,300,30,10,17.35,74.32,90.7,https://doi.org/10.1016/j.energy.2019.116413
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,350,30,10,18.85,45.39,60.19,https://doi.org/10.1016/j.energy.2019.116413
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,400,30,10,19.5,43.21,59.27,https://doi.org/10.1016/j.energy.2019.116413
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,450,30,10,19.97,38.88,54.62,https://doi.org/10.1016/j.energy.2019.116413
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,500,30,10,20.34,37.21,53.24,https://doi.org/10.1016/j.energy.2019.116413
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,550,30,10,20.56,36.69,53.06,https://doi.org/10.1016/j.energy.2019.116413
Rice straw,40.06,5.47,40.23,0.69,0.48,1.63,0.75,0.77,14.22,76.86,10.16,12.98,7.56,42.67,14.49,20.53,600,30,10,20.21,36.88,52.43,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,300,30,10,19.94,73.82,92.78,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,350,30,10,22.22,45.72,64.03,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,400,30,10,25.02,40.52,63.9,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,450,30,10,24.99,38.32,60.36,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,500,30,10,25.03,36.01,56.81,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,550,30,10,24.98,34.98,55.08,https://doi.org/10.1016/j.energy.2019.116413
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.58,0.7,0.72,15.87,82.63,9.98,7.39,8.28,40.28,11.65,27.56,600,30,10,25.53,35.89,57.75,https://doi.org/10.1016/j.energy.2019.116413
Rice husk,45.87,5.87,38,0.56,0.14,1.52,0.62,0.63,17.12,62.83,27.6,9.57,2.28,28.5,25.49,25.68,200,30,10,19.06,82.38,91.73,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Rice husk,45.87,5.87,38,0.56,0.14,1.52,0.62,0.63,17.12,62.83,27.6,9.57,2.28,28.5,25.49,25.68,250,30,10,22.59,53.45,70.54,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Rice husk,45.87,5.87,38,0.56,0.14,1.52,0.62,0.63,17.12,62.83,27.6,9.57,2.28,28.5,25.49,25.68,300,30,10,23.33,41.83,57.01,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Coconut husk,49.03,5.37,38.36,0.41,0.13,1.3,0.59,0.59,17.41,61.78,31.52,6.7,1.96,26.27,26,43.34,200,30,10,20.47,76.54,90.02,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Coconut husk,49.03,5.37,38.36,0.41,0.13,1.3,0.59,0.59,17.41,61.78,31.52,6.7,1.96,26.27,26,43.34,250,30,10,22.4,61.61,79.29,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Coconut husk,49.03,5.37,38.36,0.41,0.13,1.3,0.59,0.59,17.41,61.78,31.52,6.7,1.96,26.27,26,43.34,300,30,10,23.7,53.04,72.22,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Cassava rhizome,45.14,5.82,43.12,0.84,0.13,1.54,0.72,0.73,15.88,71.92,23.13,4.95,3.11,44.41,25.18,25.26,200,30,10,20.92,75.03,98.82,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Cassava rhizome,45.14,5.82,43.12,0.84,0.13,1.54,0.72,0.73,15.88,71.92,23.13,4.95,3.11,44.41,25.18,25.26,250,30,10,23.49,49.66,73.44,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Cassava rhizome,45.14,5.82,43.12,0.84,0.13,1.54,0.72,0.73,15.88,71.92,23.13,4.95,3.11,44.41,25.18,25.26,300,30,10,25.22,37.02,58.78,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Corncob,46.74,6.04,44.23,0.84,0.15,1.54,0.71,0.73,16.54,76.04,21.95,2.01,3.46,37.27,36.32,23.35,200,30,10,22.65,66.65,91.26,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Corncob,46.74,6.04,44.23,0.84,0.15,1.54,0.71,0.73,16.54,76.04,21.95,2.01,3.46,37.27,36.32,23.35,250,30,10,24.86,42.04,63.18,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Corncob,46.74,6.04,44.23,0.84,0.15,1.54,0.71,0.73,16.54,76.04,21.95,2.01,3.46,37.27,36.32,23.35,300,30,10,28.29,36.52,62.45,Torrefaction of Agricultural Wastes: Influence of Lignocellulosic Types
Pine wood,46.8,6.5,45.9,0.2,0.1,1.65,0.74,0.74,16.92,81.9,17.5,0.6,4.68,44.2,15,33,270,15,10,20.8,77.6,95.41,https://doi.org/10.1080/15567036.2020.1814453
Pine wood,46.8,6.5,45.9,0.2,0.1,1.65,0.74,0.74,16.92,81.9,17.5,0.6,4.68,44.2,15,33,270,30,10,21.3,75.2,94.68,https://doi.org/10.1080/15567036.2020.1814453
Pine wood,46.8,6.5,45.9,0.2,0.1,1.65,0.74,0.74,16.92,81.9,17.5,0.6,4.68,44.2,15,33,270,45,10,21.5,74.3,94.43,https://doi.org/10.1080/15567036.2020.1814453
Rice husk,43.5,5.5,35.5,0.5,0.1,1.51,0.61,0.62,16.23,65.3,19.8,14.9,3.3,38.5,21,16.5,270,15,10,17.1,86.6,91.24,https://doi.org/10.1080/15567036.2020.1814453
Rice husk,43.5,5.5,35.5,0.5,0.1,1.51,0.61,0.62,16.23,65.3,19.8,14.9,3.3,38.5,21,16.5,270,30,10,17.6,83.5,90.55,https://doi.org/10.1080/15567036.2020.1814453
Rice husk,43.5,5.5,35.5,0.5,0.1,1.51,0.61,0.62,16.23,65.3,19.8,14.9,3.3,38.5,21,16.5,270,45,10,17.8,82.1,90.04,https://doi.org/10.1080/15567036.2020.1814453
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,200,15,10,17.1,96.2,96.56,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,200,30,10,17.2,94.9,95.81,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,200,45,10,17.4,92.7,94.68,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,250,15,10,18.4,82.1,88.67,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,250,30,10,18.8,80.2,88.5,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,250,45,10,19,79,88.11,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,300,15,10,20,65.3,76.66,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,300,30,10,20.2,63.2,74.94,https://doi.org/10.1016/j.jaecs.2021.100051
Peanut shell,46.4,5.7,38.5,0.9,0.9,1.46,0.62,0.64,17.04,73.8,19.5,6.7,3.78,36.3,25.9,23.5,300,45,10,20.4,61.9,74.12,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,200,15,10,16.2,92,98.07,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,200,30,10,16.3,89.1,95.57,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,200,45,10,16.6,86.8,94.81,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,250,15,10,16.9,74.9,83.29,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,250,30,10,17.3,73,83.1,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,250,45,10,17.6,71.7,83.04,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,300,15,10,18.2,51.5,61.68,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,300,30,10,18.5,46,56,https://doi.org/10.1016/j.jaecs.2021.100051
Soybean straw,44.3,5.8,45.2,0.7,0.1,1.56,0.77,0.78,15.2,85.5,10.6,3.9,8.07,37.6,27.8,15.2,300,45,10,19,43.2,54.01,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,200,15,10,18.5,97.8,92.44,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,200,30,10,18.6,97.1,92.28,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,200,45,10,18.8,95,91.25,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,250,15,10,19.2,84.5,82.89,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,250,30,10,19.8,82.2,83.16,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,250,45,10,20.1,80.7,82.88,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,300,15,10,20.5,58.1,60.86,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,300,30,10,21.2,55.7,60.33,https://doi.org/10.1016/j.jaecs.2021.100051
Pine wood,50.3,6.9,40.8,0.1,0,1.63,0.61,0.61,19.57,88.3,9.8,1.9,9.01,49.1,13.7,26.3,300,45,10,21.5,53.4,58.66,https://doi.org/10.1016/j.jaecs.2021.100051
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,270,50,8.29,21.32,39.1,50.88,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,300,50,8.3,22.62,45.5,62.82,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,240,50,8.28,20.09,39.2,48.07,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,270,50,8.35,21.05,49.2,63.21,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,300,50,8.4,23.4,56.6,80.84,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,240,50,8.45,20.17,54.8,67.47,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,270,50,8.45,21.08,53.1,68.32,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,300,50,7.223,24.37,72.8,108.29,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,240,120,8.6,20.52,64.6,80.91,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,270,120,8.6,21.39,65.1,85,https://doi.org/10.1016/j.energy.2019.116306
Sawdust,46.2,6.4,46.9,0.1,0,1.65,0.76,0.76,16.38,84.55,15.06,0.39,5.61,49,14.6,27.6,300,120,41.485,25.95,74.8,118.48,https://doi.org/10.1016/j.energy.2019.116306
Sugarcane bagasse,46.37,6.29,46.79,0.55,0.11,1.62,0.76,0.77,16.31,83.46,14.23,2.17,5.87,23.08,18.81,11.35,200,60,20,20.2,80,99.06,https://doi.org/10.1016/j.csite.2020.100623
Sugarcane bagasse,46.37,6.29,46.79,0.55,0.11,1.62,0.76,0.77,16.31,83.46,14.23,2.17,5.87,23.08,18.81,11.35,275,60,20,24.01,54,79.48,https://doi.org/10.1016/j.csite.2020.100623
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,200,30,10,17.42,81.36,77.57,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,210,30,10,17.44,80.19,76.55,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,220,30,10,17.59,78.27,75.36,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,230,30,10,17.98,71.99,70.85,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,240,30,10,18.04,70.72,69.83,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,250,30,10,18.44,68.94,69.58,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,260,30,10,19.04,57.28,59.69,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,270,30,10,20.53,50.61,56.87,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,280,30,10,22.28,41.69,50.84,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,290,30,10,23.48,39.94,51.33,https://doi.org/10.1016/j.jaap.2021.105287
Woody biomass,49.07,6.7,44.18,0.02,0.03,1.63,0.68,0.68,18.27,81.93,17.75,0.32,4.62,45.45,21.76,33.56,300,30,10,23.81,36.05,46.98,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,200,30,10,18.51,92.86,106.62,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,210,30,10,18.78,92.03,107.21,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,220,30,10,19.01,90.27,106.44,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,230,30,10,19.5,84.06,101.68,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,240,30,10,19.54,78,94.54,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,250,30,10,19.99,72.93,90.43,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,260,30,10,20.52,67.37,85.75,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,270,30,10,20.83,64.45,83.27,https://doi.org/10.1016/j.jaap.2021.105287
Herbaceous biomass,43.74,6.95,48.39,0.39,0.53,1.89,0.83,0.84,16.12,76.48,20.81,2.71,3.68,33.7,26.07,17.34,280,30,10,21.18,57,74.89,https://doi.org/10.1016/j.jaap.2021.105287
